"product_id","product_name","category_id","category_name","description","revenue","cogs","profit_margin","low_margin_flag"
246,"Gigabyte X299 AORUS Ultra Gaming",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","45750.67","38274.74","16.3406","Not Low"
94,"Western Digital WD2500AVVS",5,"Storage","Series:AV-GP,Type:5400RPM,Capacity:250GB,Cache:8MB","1399.50","1136.70","18.7781","Not Low"
87,"PNY VCGGTX1080T11XGPB-OC",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz","238636.86","188688.88","20.9305","Not Low"
122,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","101218.60","74517.80","26.3793","Not Low"
153,"Intel Xeon E5-2650 V2",1,"CPU","Speed:2.6GHz,Cores:8,TDP:95W","176109.00","135516.51","23.0496","Not Low"
278,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB","171531.47","138150.65","19.4605","Not Low"
138,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","26485.59","20462.69","22.7403","Not Low"
127,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","24479.66","18310.70","25.2004","Not Low"
284,"Kingston SA400S37/120G",5,"Storage","Series:A400,Type:SSD,Capacity:120GB,Cache:N/A","14077.44","10401.28","26.1138","Not Low"
83,"Asus STRIX-GTX1080TI-O11G-GAMING",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","97938.82","81553.34","16.7303","Not Low"
154,"Intel Xeon E5-2650 V3",1,"CPU","Speed:2.3GHz,Cores:10,TDP:105W","331369.50","249323.25","24.7597","Not Low"
66,"Gigabyte X299 AORUS Gaming 7",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","91997.70","65299.30","29.0207","Not Low"
261,"G.Skill TridentZ RGB",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","159528.94","141007.56","11.6100","Low"
142,"AMD FirePro W9100",2,"Video Card","Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz","734728.05","608428.10","17.1900","Not Low"
168,"Seagate ST31000340NS - FFP",5,"Storage","Series:Barracuda ES,Type:7200RPM,Capacity:1TB,Cache:32MB","9897.75","7740.00","21.8004","Not Low"
157,"Asus MAXIMUS IX FORMULA",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","69240.22","60363.36","12.8204","Low"
124,"Intel Xeon E5-1650 V4 (OEM/Tray)",1,"CPU","Speed:3.6GHz,Cores:6,TDP:140W","69613.83","53017.38","23.8407","Not Low"
105,"EVGA 12G-P4-3992-KR",2,"Video Card","Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz","240799.14","198924.02","17.3901","Not Low"
199,"Intel Xeon E5-2630 V4",1,"CPU","Speed:2.2GHz,Cores:10,TDP:85W","171717.35","140171.75","18.3707","Not Low"
98,"Intel Xeon E5-2687W V3",1,"CPU","Speed:3.1GHz,Cores:10,TDP:160W","307683.51","265439.03","13.7298","Low"
40,"MSI Z170A KRAIT GAMING 3X",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","23691.31","19386.60","18.1700","Not Low"
2,"Intel Xeon E5-2697 V4",1,"CPU","Speed:2.3GHz,Cores:18,TDP:145W","419018.36","351681.60","16.0701","Not Low"
201,"Kingston",5,"Storage","Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x8GBSize:32GB","79727.00","69171.56","13.2395","Low"
254,"Samsung MZ-7KE256BW",5,"Storage","Series:850 Pro Series,Type:SSD,Capacity:256GB,Cache:N/A","14518.79","11759.99","19.0016","Not Low"
34,"Asus KGPE-D16",4,"Mother Board","CPU:G34 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:256GB","82342.06","71061.84","13.6992","Low"
188,"Asus X99-E WS/USB 3.1",4,"Mother Board","CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB","165011.58","146680.38","11.1090","Low"
255,"Seagate ST2000DX002",5,"Storage","Series:FireCuda,Type:Hybrid,Capacity:2TB,Cache:64MB","16469.19","11670.88","29.1351","Not Low"
135,"Samsung MZ-V6E250",5,"Storage","Series:960 EVO,Type:SSD,Capacity:250GB,Cache:512MB","16880.16","12273.36","27.2912","Not Low"
64,"Supermicro H8DG6-F",4,"Mother Board","CPU:G34 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:512GB","53124.99","42080.64","20.7894","Not Low"
279,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","93648.29","80930.77","13.5801","Low"
245,"ATI FirePro S9050",2,"Video Card","Chipset:FirePro S9050,Memory:12GBCore Clock:900MHz","438342.00","319156.32","27.1901","Not Low"
41,"MSI Z170 Krait Gaming",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","71973.60","55579.20","22.7784","Not Low"
45,"Intel Xeon E5-2685 V3 (OEM/Tray)",1,"CPU","Speed:2.6GHz,Cores:12,TDP:120W","255172.38","205235.22","19.5700","Not Low"
108,"MSI GAMING",2,"Video Card","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz","248197.08","219928.56","11.3895","Low"
215,"PNY VCQP4000-PB",2,"Video Card","Chipset:Quadro P4000,Memory:8GBCore Clock:1.23GHz","29876.04","26064.00","12.7595","Low"
203,"Kingston",5,"Storage","Speed:DDR3-1333,Type:240-pin DIMM,CAS:9Module:4x16GBSize:64GB","122191.16","101344.88","17.0604","Not Low"
264,"Samsung MZ-75E120B/AM",5,"Storage","Series:850 EVO-Series,Type:SSD,Capacity:120GB,Cache:N/A","3114.65","2604.35","16.3839","Not Low"
21,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","48749.35","39642.85","18.6802","Not Low"
137,"Asus Z10PE-D16 WS",4,"Mother Board","CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB","35249.25","24939.00","29.2496","Not Low"
99,"Seagate ST1000DX002",5,"Storage","Series:FireCuda,Type:Hybrid,Capacity:1TB,Cache:64MB","8371.38","6815.43","18.5865","Not Low"
180,"Supermicro MBD-X10DAL-I-O",4,"Mother Board","CPU:LGA2011-3 x 2,Form Factor:ATX,RAM Slots:8,Max RAM:512GB","15679.44","13399.68","14.5398","Low"
184,"AMD 100-506061",2,"Video Card","Chipset:Vega Frontier Edition,Memory:16GBCore Clock:1.44GHz","87999.12","62215.12","29.3003","Not Low"
257,"SanDisk SDSSDHII-240G-G25",5,"Storage","Series:Ultra II,Type:SSD,Capacity:240GB,Cache:N/A","5946.50","5137.30","13.6080","Low"
236,"MSI GTX 980 Ti Gaming 6G",2,"Video Card","Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz","84966.48","61557.72","27.5506","Not Low"
238,"EVGA 06G-P4-4998-KR",2,"Video Card","Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.19GHz","137971.08","96911.58","29.7595","Not Low"
9,"Intel Xeon E5-2640 V4",1,"CPU","Speed:2.4GHz,Cores:10,TDP:90W","95398.94","78303.26","17.9202","Not Low"
86,"MSI GTX 1080 TI SEA HAWK X",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","190780.26","163842.84","14.1196","Low"
58,"Gigabyte GV-N108TAORUS X-11GD",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.61GHz","57303.54","50249.55","12.3099","Low"
179,"Asus SABERTOOTH X99",4,"Mother Board","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB","57843.95","46725.45","19.2215","Not Low"
218,"Intel Xeon E5-2660 V4",1,"CPU","Speed:2.0GHz,Cores:14,TDP:105W","318055.81","273432.87","14.0299","Low"
219,"Intel Xeon E5-2660 V3",1,"CPU","Speed:2.6GHz,Cores:10,TDP:105W","106577.86","85443.18","19.8303","Not Low"
115,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","36399.48","29417.96","19.1803","Not Low"
49,"Samsung MZ-75E4T0B",5,"Storage","Series:850 EVO,Type:SSD,Capacity:4TB,Cache:4GB","124499.17","95752.12","23.0902","Not Low"
5,"PNY VCQK6000-PB",2,"Video Card","Chipset:Quadro K6000,Memory:12GBCore Clock:902MHz","249696.11","189693.79","24.0301","Not Low"
55,"Crucial CT525MX300SSD4",5,"Storage","Series:MX300,Type:SSD,Capacity:525GB,Cache:N/A","59037.09","47670.72","19.2529","Not Low"
33,"ADATA ASU800SS-128GT-C",5,"Storage","Series:Ultimate SU800,Type:SSD,Capacity:128GB,Cache:N/A","7528.95","5402.54","28.2431","Not Low"
268,"Western Digital WD10EZEX",5,"Storage","Series:Caviar Blue,Type:7200RPM,Capacity:1TB,Cache:64MB","16566.48","12397.18","25.1671","Not Low"
250,"Asus Z170-WS",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","73560.83","60629.80","17.5787","Not Low"
82,"Intel Core i7-6950X",1,"CPU","Speed:3.0GHz,Cores:10,TDP:140W","92993.18","65281.04","29.8002","Not Low"
209,"Intel Core i7-990X Extreme Edition",1,"CPU","Speed:3.47GHz,Cores:6,TDP:130W","95999.20","85823.20","10.6001","Low"
100,"Crucial CT275MX300SSD1",5,"Storage","Series:MX300,Type:SSD,Capacity:275GB,Cache:N/A","29364.00","23763.00","19.0744","Not Low"
195,"G.Skill Ripjaws 4 Series",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","120382.86","95307.42","20.8297","Not Low"
226,"Asus PRIME X299-A",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","17661.45","15649.92","11.3894","Low"
114,"Zotac ZT-70203-10P",2,"Video Card","Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz","124732.72","88223.84","29.2697","Not Low"
167,"Intel Xeon E5-2650L V3 (OEM/Tray)",1,"CPU","Speed:1.8GHz,Cores:12,TDP:65W","136412.10","105187.95","22.8896","Not Low"
17,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","100657.44","85740.48","14.8195","Low"
107,"Kingston",5,"Storage","Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB","235060.00","173075.70","26.3696","Not Low"
38,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","236398.03","200843.47","15.0401","Not Low"
187,"Asus MAXIMUS VIII EXTREME/ASSEMBLY",4,"Mother Board","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","113627.58","81344.61","28.4112","Not Low"
227,"Gigabyte GA-X99-UD5 WIFI",4,"Mother Board","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB","41175.00","29407.05","28.5803","Not Low"
172,"ASRock EP2C612 WS",4,"Mother Board","CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:","50547.09","43546.44","13.8498","Low"
242,"Intel Xeon E5-1680 V3 (OEM/Tray)",1,"CPU","Speed:3.2GHz,Cores:8,TDP:140W","106871.39","92710.85","13.2501","Low"
101,"Kingston HyperX Predator",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","267115.80","198147.60","25.8196","Not Low"
282,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","94183.83","81958.50","12.9803","Low"
206,"PNY VCQM6000-24GB-PB",2,"Video Card","Chipset:Quadro M6000,Memory:24GBCore Clock:988MHz","550487.00","481345.62","12.5600","Low"
147,"EVGA Classified",4,"Mother Board","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB","28398.00","24062.00","15.2687","Not Low"
224,"Asus STRIX X299-E GAMING",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","57398.36","50184.00","12.5689","Low"
67,"Kingston HyperX Beast",5,"Storage","Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB","175199.15","143908.73","17.8599","Not Low"
166,"Intel Xeon E5-2680 V3 (OEM/Tray)",1,"CPU","Speed:2.5GHz,Cores:12,TDP:120W","224527.93","159863.93","28.8000","Not Low"
73,"Intel Core i7-4770K",1,"CPU","Speed:3.5GHz,Cores:4,TDP:84W","107066.00","95696.10","10.6195","Low"
47,"Intel Xeon E5-2697 V2",1,"CPU","Speed:2.7GHz,Cores:12,TDP:130W","449270.01","397200.51","11.5898","Low"
262,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB","285648.03","207238.09","27.4498","Not Low"
269,"Zotac ZT-P10810D-10P",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","111718.53","85274.70","23.6700","Not Low"
200,"Intel Core i7-4790K",1,"CPU","Speed:4.0GHz,Cores:4,TDP:88W","296193.15","220335.84","25.6108","Not Low"
93,"Intel Xeon E5-2690 (OEM/Tray)",1,"CPU","Speed:2.9GHz,Cores:8,TDP:135W","455094.80","405990.95","10.7898","Low"
190,"Supermicro X10SDV-8C-TLN4F",4,"Mother Board","CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB","234400.53","164079.63","30.0003","Not Low"
230,"ADATA ASU800SS-512GT-C",5,"Storage","Series:Ultimate SU800,Type:SSD,Capacity:512GB,Cache:N/A","30208.49","25037.09","17.1190","Not Low"
51,"Intel Xeon E5-2695 V4",1,"CPU","Speed:2.1GHz,Cores:18,TDP:120W","494857.82","388116.30","21.5701","Not Low"
129,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","200652.27","166401.69","17.0696","Not Low"
181,"ATI FirePro R5000",2,"Video Card","Chipset:FirePro R5000,Memory:2GBCore Clock:825MHz","142998.57","108764.37","23.9402","Not Low"
6,"Zotac ZT-P10810A-10P",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz","108798.72","89900.80","17.3696","Not Low"
80,"Intel Xeon E5-1650 V3",1,"CPU","Speed:3.5GHz,Cores:6,TDP:140W","75130.37","53169.41","29.2305","Not Low"
205,"G.Skill Trident X",5,"Storage","Speed:DDR3-3100,Type:240-pin DIMM,CAS:12Module:2x4GBSize:8GB","69548.93","54283.24","21.9496","Not Low"
48,"AMD FirePro S7000",2,"Video Card","Chipset:FirePro S7000,Memory:4GBCore Clock:950MHz","187649.00","144208.68","23.1498","Not Low"
145,"Asus VANGUARD B85",4,"Mother Board","CPU:LGA1150,Form Factor:Micro ATX,RAM Slots:4,Max RAM:32GB","16646.00","14969.80","10.0697","Low"
15,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","23231.68","19249.92","17.1394","Not Low"
210,"Intel Core i9-7900X",1,"CPU","Speed:3.3GHz,Cores:10,TDP:140W","120508.83","100130.94","16.9099","Not Low"
240,"Intel Core i7-4960X Extreme Edition",1,"CPU","Speed:3.6GHz,Cores:6,TDP:130W","144477.60","119714.40","17.1398","Not Low"
237,"Gigabyte GV-N108TAORUS-11GD",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.59GHz","37249.00","30265.00","18.7495","Not Low"
164,"Intel Xeon E5-2637 V2 (OEM/Tray)",1,"CPU","Speed:3.5GHz,Cores:4,TDP:130W","604950.00","432660.24","28.4800","Not Low"
196,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","272797.52","203833.68","25.2802","Not Low"
104,"SanDisk SDSSDA-240G-G26",5,"Storage","Series:SSD PLUS,Type:SSD,Capacity:240GB,Cache:N/A","8136.36","5926.70","27.1578","Not Low"
185,"MSI GTX 1080 TI LIGHTNING Z",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.61GHz","211503.16","166580.70","21.2396","Not Low"
19,"Intel Core i7-6950X (OEM/Tray)",1,"CPU","Speed:3.0GHz,Cores:10,TDP:140W","248838.02","216015.76","13.1902","Low"
163,"Intel Xeon E5-2683 V4",1,"CPU","Speed:2.1GHz,Cores:16,TDP:120W","313498.35","281646.75","10.1601","Low"
52,"Intel Xeon E5-2670 V3",1,"CPU","Speed:2.3GHz,Cores:12,TDP:120W","306887.34","266071.02","13.3001","Low"
125,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB","56136.27","43364.92","22.7506","Not Low"
4,"AMD 100-505989",2,"Video Card","Chipset:FirePro W9100,Memory:32GBCore Clock:930MHz","888296.71","700332.43","21.1601","Not Low"
25,"Samsung MZ-75E250B/AM",5,"Storage","Series:850 EVO-Series,Type:SSD,Capacity:250GB,Cache:N/A","14788.08","12405.18","16.1137","Not Low"
72,"Intel Xeon E5-2630 V3 (OEM/Tray)",1,"CPU","Speed:2.4GHz,Cores:8,TDP:85W","50739.14","36283.40","28.4903","Not Low"
155,"Intel Xeon E5-2630 V2",1,"CPU","Speed:2.6GHz,Cores:6,TDP:80W","83630.90","70074.16","16.2102","Not Low"
69,"Intel Core i7-7820X",1,"CPU","Speed:3.6GHz,Cores:8,TDP:140W","128962.50","97109.00","24.6998","Not Low"
89,"PNY VCGGTX780T3XPB-OC",2,"Video Card","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz","212247.17","167569.96","21.0496","Not Low"
43,"Asus MAXIMUS IX CODE",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","119890.98","106726.15","10.9807","Low"
159,"Intel Xeon E5-2690 V4",1,"CPU","Speed:2.6GHz,Cores:14,TDP:135W","191471.04","143928.96","24.8299","Not Low"
70,"Intel Xeon E5-2687W",1,"CPU","Speed:3.1GHz,Cores:8,TDP:150W","168504.63","137734.92","18.2605","Not Low"
24,"Seagate ST2000DM006",5,"Storage","Series:Barracuda,Type:7200RPM,Capacity:2TB,Cache:64MB","21003.46","15050.02","28.3450","Not Low"
151,"Supermicro X10SAT-O",4,"Mother Board","CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB","45961.11","33754.04","26.5596","Not Low"
20,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","162717.74","139335.78","14.3696","Low"
126,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x8GBSize:64GB","100635.43","80216.01","20.2905","Not Low"
239,"MSI GTX 1080 Ti DUKE 11G OC",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz","233096.85","174847.05","24.9895","Not Low"
272,"G.Skill Ripjaws 4 Series",5,"Storage","Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","214798.00","166812.00","22.3401","Not Low"
35,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","368197.20","316870.40","13.9400","Low"
