"yearly_orders","product_id","product_name","category_id","category_name","description","revenue","cogs","profit_margin","low_margin_flag"
"2015-01-01",65,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","158398.68","132326.04","16.4601","Not Low"
"2015-01-01",67,"Kingston HyperX Beast",5,"Storage","Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB","63865.70","52459.34","17.8599","Not Low"
"2015-01-01",76,"Intel Xeon E5-2630 V3",1,"CPU","Speed:2.4GHz,Cores:8,TDP:85W","68668.91","54495.64","20.6400","Not Low"
"2015-01-01",86,"MSI GTX 1080 TI SEA HAWK X",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","91767.72","78810.48","14.1196","Not Low"
"2015-01-01",87,"PNY VCGGTX1080T11XGPB-OC",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz","90438.81","71509.48","20.9305","Not Low"
"2015-01-01",89,"PNY VCGGTX780T3XPB-OC",2,"Video Card","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz","112498.50","88818.00","21.0496","Not Low"
"2015-01-01",94,"Western Digital WD2500AVVS",5,"Storage","Series:AV-GP,Type:5400RPM,Capacity:250GB,Cache:8MB","1399.50","1136.70","18.7781","Not Low"
"2015-01-01",95,"Western Digital WDS256G1X0C",5,"Storage","Series:Black PCIe,Type:SSD,Capacity:256GB,Cache:N/A","3959.64","3091.32","21.9293","Not Low"
"2015-01-01",102,"Intel Xeon E5-2687W V4",1,"CPU","Speed:3.0GHz,Cores:12,TDP:160W","171585.96","144801.72","15.6098","Not Low"
"2015-01-01",105,"EVGA 12G-P4-3992-KR",2,"Video Card","Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz","240799.14","198924.02","17.3901","Not Low"
"2015-01-01",106,"Intel Xeon E5-2640 V2",1,"CPU","Speed:2.0GHz,Cores:8,TDP:95W","83426.15","74691.03","10.4705","Low"
"2015-01-01",108,"MSI GAMING",2,"Video Card","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz","88398.96","78330.72","11.3895","Low"
"2015-01-01",110,"ATI FirePro W9000",2,"Video Card","Chipset:FirePro W9000,Memory:6GBCore Clock:975MHz","654558.85","571037.75","12.7599","Not Low"
"2015-01-01",114,"Zotac ZT-70203-10P",2,"Video Card","Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz","91908.32","65007.04","29.2697","Not Low"
"2015-01-01",118,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","73488.45","60738.30","17.3499","Not Low"
"2015-01-01",122,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","101218.60","74517.80","26.3793","Not Low"
"2015-01-01",131,"Samsung MZ-V6P512BW",5,"Storage","Series:960 PRO,Type:SSD,Capacity:512GB,Cache:512MB","9519.66","7615.66","20.0007","Not Low"
"2015-01-01",137,"Asus Z10PE-D16 WS",4,"Mother Board","CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB","35249.25","24939.00","29.2496","Not Low"
"2015-01-01",138,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","26485.59","20462.69","22.7403","Not Low"
"2015-01-01",141,"Supermicro X11SSL-CF",4,"Mother Board","CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB","40739.03","30827.57","24.3292","Not Low"
"2015-01-01",151,"Supermicro X10SAT-O",4,"Mother Board","CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB","35810.19","26299.16","26.5596","Not Low"
"2015-01-01",152,"Gigabyte X299 AORUS Gaming 3",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","23040.36","18653.36","19.0405","Not Low"
"2015-01-01",154,"Intel Xeon E5-2650 V3",1,"CPU","Speed:2.3GHz,Cores:10,TDP:105W","250635.84","188579.04","24.7597","Not Low"
"2015-01-01",159,"Intel Xeon E5-2690 V4",1,"CPU","Speed:2.6GHz,Cores:14,TDP:135W","191471.04","143928.96","24.8299","Not Low"
"2015-01-01",160,"Intel Xeon E5-2690 V3",1,"CPU","Speed:2.6GHz,Cores:12,TDP:135W","57261.90","46210.50","19.2997","Not Low"
"2015-01-01",164,"Intel Xeon E5-2637 V2 (OEM/Tray)",1,"CPU","Speed:3.5GHz,Cores:4,TDP:130W","168350.00","120403.92","28.4800","Not Low"
"2015-01-01",166,"Intel Xeon E5-2680 V3 (OEM/Tray)",1,"CPU","Speed:2.5GHz,Cores:12,TDP:120W","55722.26","39674.26","28.8000","Not Low"
"2015-01-01",169,"Intel Xeon E5-2683 V4 (OEM/Tray)",1,"CPU","Speed:2.1GHz,Cores:16,TDP:120W","134676.97","99997.59","25.7500","Not Low"
"2015-01-01",178,"HP C2J95AT",2,"Video Card","Chipset:Quadro K5000,Memory:4GBCore Clock:706MHz","201988.89","173306.91","14.1998","Not Low"
"2015-01-01",182,"PNY VCQK4200-PB",2,"Video Card","Chipset:Quadro K4200,Memory:4GBCore Clock:771MHz","90239.55","75909.75","15.8797","Not Low"
"2015-01-01",188,"Asus X99-E WS/USB 3.1",4,"Mother Board","CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB","62723.70","55755.70","11.1090","Low"
"2015-01-01",195,"G.Skill Ripjaws 4 Series",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","41183.61","32605.17","20.8297","Not Low"
"2015-01-01",199,"Intel Xeon E5-2630 V4",1,"CPU","Speed:2.2GHz,Cores:10,TDP:85W","132189.96","107905.80","18.3707","Not Low"
"2015-01-01",200,"Intel Core i7-4790K",1,"CPU","Speed:4.0GHz,Cores:4,TDP:88W","46571.25","34644.00","25.6108","Not Low"
"2015-01-01",203,"Kingston",5,"Storage","Speed:DDR3-1333,Type:240-pin DIMM,CAS:9Module:4x16GBSize:64GB","78551.46","65150.28","17.0604","Not Low"
"2015-01-01",204,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","68699.00","54664.00","20.4297","Not Low"
"2015-01-01",208,"Samsung MZ-V6P2T0BW",5,"Storage","Series:960 Pro,Type:SSD,Capacity:2TB,Cache:2GB","136798.86","95772.54","29.9902","Not Low"
"2015-01-01",224,"Asus STRIX X299-E GAMING",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","31149.11","27234.00","12.5689","Not Low"
"2015-01-01",235,"Hitachi A7K1000-1000",5,"Storage","Series:Ultrastar,Type:7200RPM,Capacity:1TB,Cache:32MB","3611.14","2574.84","28.6973","Not Low"
"2015-01-01",247,"Asus TUF X299 MARK 1",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","15299.55","10851.75","29.0714","Not Low"
"2015-01-01",253,"Samsung MZ-V6P1T0BW",5,"Storage","Series:960 Pro,Type:SSD,Capacity:1TB,Cache:1GB","73078.74","58777.74","19.5693","Not Low"
"2015-01-01",258,"PNY SSD7CS1311-120-RB",5,"Storage","Series:CS1311,Type:SSD,Capacity:120GB,Cache:N/A","8407.10","7335.55","12.7458","Not Low"
"2015-01-01",262,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB","114549.21","83105.63","27.4498","Not Low"
"2015-01-01",265,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","173270.79","140782.29","18.7501","Not Low"
"2015-01-01",269,"Zotac ZT-P10810D-10P",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","111718.53","85274.70","23.6700","Not Low"
"2015-01-01",280,"Western Digital WDS500G1B0B",5,"Storage","Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A","7044.36","5023.83","28.6829","Not Low"
"2015-01-01",287,"MSI X99A XPOWER GAMING TITANIUM",4,"Mother Board","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB","73257.78","57105.06","22.0492","Not Low"
"2016-01-01",1,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","142299.78","99979.92","29.7399","Not Low"
"2016-01-01",2,"Intel Xeon E5-2697 V4",1,"CPU","Speed:2.3GHz,Cores:18,TDP:145W","166074.35","139386.00","16.0701","Not Low"
"2016-01-01",4,"AMD 100-505989",2,"Video Card","Chipset:FirePro W9100,Memory:32GBCore Clock:930MHz","367198.64","289499.12","21.1601","Not Low"
"2016-01-01",5,"PNY VCQK6000-PB",2,"Video Card","Chipset:Quadro K6000,Memory:12GBCore Clock:902MHz","249696.11","189693.79","24.0301","Not Low"
"2016-01-01",7,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","43583.36","38553.60","11.5406","Low"
"2016-01-01",9,"Intel Xeon E5-2640 V4",1,"CPU","Speed:2.4GHz,Cores:10,TDP:90W","95398.94","78303.26","17.9202","Not Low"
"2016-01-01",14,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","60629.14","54493.90","10.1193","Low"
"2016-01-01",15,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","23231.68","19249.92","17.1394","Not Low"
"2016-01-01",18,"Crucial",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB","39151.00","29597.96","24.4005","Not Low"
"2016-01-01",20,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","80638.88","69051.36","14.3696","Not Low"
"2016-01-01",21,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","25499.66","20736.26","18.6802","Not Low"
"2016-01-01",23,"Western Digital WDS250G1B0A",5,"Storage","Series:Blue,Type:SSD,Capacity:250GB,Cache:N/A","12764.38","10300.68","19.3014","Not Low"
"2016-01-01",24,"Seagate ST2000DM006",5,"Storage","Series:Barracuda,Type:7200RPM,Capacity:2TB,Cache:64MB","8093.69","5799.53","28.3450","Not Low"
"2016-01-01",28,"Supermicro X9SRH-7TF",4,"Mother Board","CPU:LGA2011,Form Factor:ATX,RAM Slots:8,Max RAM:64GB","40799.15","34989.40","14.2399","Not Low"
"2016-01-01",29,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","41989.35","37160.50","11.5002","Low"
"2016-01-01",30,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-2800,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","99360.80","69691.16","29.8605","Not Low"
"2016-01-01",31,"Supermicro MBD-X10DAX",4,"Mother Board","CPU:LGA2011-3 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:","45259.44","39294.48","13.1795","Not Low"
"2016-01-01",34,"Asus KGPE-D16",4,"Mother Board","CPU:G34 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:256GB","29676.58","25611.12","13.6992","Not Low"
"2016-01-01",35,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","170948.70","147118.40","13.9400","Not Low"
"2016-01-01",38,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","236398.03","200843.47","15.0401","Not Low"
"2016-01-01",39,"ASRock EP2C602-4L/D16",4,"Mother Board","CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB","50432.33","37653.49","25.3386","Not Low"
"2016-01-01",40,"MSI Z170A KRAIT GAMING 3X",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","23691.31","19386.60","18.1700","Not Low"
"2016-01-01",41,"MSI Z170 Krait Gaming",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","48582.18","37515.96","22.7784","Not Low"
"2016-01-01",42,"MSI Z170A KRAIT GAMING",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","22491.75","19680.00","12.5013","Not Low"
"2016-01-01",43,"Asus MAXIMUS IX CODE",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","66373.56","59085.30","10.9807","Low"
"2016-01-01",45,"Intel Xeon E5-2685 V3 (OEM/Tray)",1,"CPU","Speed:2.6GHz,Cores:12,TDP:120W","135091.26","108653.94","19.5700","Not Low"
"2016-01-01",47,"Intel Xeon E5-2697 V2",1,"CPU","Speed:2.7GHz,Cores:12,TDP:130W","121231.59","107181.09","11.5898","Low"
"2016-01-01",48,"AMD FirePro S7000",2,"Video Card","Chipset:FirePro S7000,Memory:4GBCore Clock:950MHz","71891.50","55248.78","23.1498","Not Low"
"2016-01-01",49,"Samsung MZ-75E4T0B",5,"Storage","Series:850 EVO,Type:SSD,Capacity:4TB,Cache:4GB","124499.17","95752.12","23.0902","Not Low"
"2016-01-01",52,"Intel Xeon E5-2670 V3",1,"CPU","Speed:2.3GHz,Cores:12,TDP:120W","306887.34","266071.02","13.3001","Not Low"
"2016-01-01",53,"Intel Core 2 Extreme QX6800",1,"CPU","Speed:2.93GHz,Cores:4,TDP:100W","128509.44","100828.16","21.5403","Not Low"
"2016-01-01",54,"Intel Xeon E5-1660 V3 (OEM/Tray)",1,"CPU","Speed:3.0GHz,Cores:8,TDP:140W","47939.53","42982.44","10.3403","Low"
"2016-01-01",55,"Crucial CT525MX300SSD4",5,"Storage","Series:MX300,Type:SSD,Capacity:525GB,Cache:N/A","21742.56","17556.48","19.2529","Not Low"
"2016-01-01",56,"Western Digital WD2500AAJS",5,"Storage","Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB","1274.25","1142.25","10.3590","Low"
"2016-01-01",62,"Intel DP35DPM",4,"Mother Board","CPU:LGA775,Form Factor:ATX,RAM Slots:4,Max RAM:8GB","229828.89","182230.02","20.7106","Not Low"
"2016-01-01",63,"Asus RAMPAGE V EXTREME",4,"Mother Board","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB","164439.52","131733.00","19.8897","Not Low"
"2016-01-01",64,"Supermicro H8DG6-F",4,"Mother Board","CPU:G34 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:512GB","28929.45","22915.20","20.7894","Not Low"
"2016-01-01",65,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","73199.39","61150.67","16.4601","Not Low"
"2016-01-01",68,"Crucial",5,"Storage","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","131004.81","100912.23","22.9706","Not Low"
"2016-01-01",69,"Intel Core i7-7820X",1,"CPU","Speed:3.6GHz,Cores:8,TDP:140W","70590.00","53154.40","24.6998","Not Low"
"2016-01-01",70,"Intel Xeon E5-2687W",1,"CPU","Speed:3.1GHz,Cores:8,TDP:150W","168504.63","137734.92","18.2605","Not Low"
"2016-01-01",71,"Intel Core i7-3930K",1,"CPU","Speed:3.2GHz,Cores:6,TDP:130W","89100.00","68758.20","22.8303","Not Low"
"2016-01-01",79,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","83818.73","68279.01","18.5397","Not Low"
"2016-01-01",84,"Asus X99-DELUXE/U3.1",4,"Mother Board","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB","20253.80","15289.48","24.5106","Not Low"
"2016-01-01",85,"Intel Xeon E5-2660 V3 (OEM/Tray)",1,"CPU","Speed:2.6GHz,Cores:10,TDP:105W","104549.18","73978.76","29.2402","Not Low"
"2016-01-01",86,"MSI GTX 1080 TI SEA HAWK X",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","99012.54","85032.36","14.1196","Not Low"
"2016-01-01",87,"PNY VCGGTX1080T11XGPB-OC",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz","78278.97","61894.76","20.9305","Not Low"
"2016-01-01",91,"Intel Xeon E5-2695 V2",1,"CPU","Speed:2.4GHz,Cores:12,TDP:115W","707376.87","561374.89","20.6399","Not Low"
"2016-01-01",93,"Intel Xeon E5-2690 (OEM/Tray)",1,"CPU","Speed:2.9GHz,Cores:8,TDP:135W","175687.76","156731.39","10.7898","Low"
"2016-01-01",95,"Western Digital WDS256G1X0C",5,"Storage","Series:Black PCIe,Type:SSD,Capacity:256GB,Cache:N/A","12868.83","10046.79","21.9293","Not Low"
"2016-01-01",96,"SanDisk SDSSDHII-480G-G25",5,"Storage","Series:Ultra II,Type:SSD,Capacity:480GB,Cache:N/A","32983.48","23910.46","27.5078","Not Low"
"2016-01-01",100,"Crucial CT275MX300SSD1",5,"Storage","Series:MX300,Type:SSD,Capacity:275GB,Cache:N/A","12724.40","10297.30","19.0744","Not Low"
"2016-01-01",101,"Kingston HyperX Predator",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","117022.16","86807.52","25.8196","Not Low"
"2016-01-01",103,"EVGA 11G-P4-6598-KR",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz","85048.95","69671.70","18.0805","Not Low"
"2016-01-01",107,"Kingston",5,"Storage","Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB","162932.00","119967.54","26.3696","Not Low"
"2016-01-01",108,"MSI GAMING",2,"Video Card","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz","41649.51","36905.82","11.3895","Low"
"2016-01-01",109,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","23561.67","19313.58","18.0297","Not Low"
"2016-01-01",113,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","51464.27","42355.33","17.6995","Not Low"
"2016-01-01",116,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","109798.50","84808.50","22.7599","Not Low"
"2016-01-01",120,"Intel Core 2 Extreme QX9775",1,"CPU","Speed:3.2GHz,Cores:4,TDP:150W","28544.00","23605.76","17.3004","Not Low"
"2016-01-01",121,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB","194937.30","162869.40","16.4504","Not Low"
"2016-01-01",126,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x8GBSize:64GB","33331.48","26568.36","20.2905","Not Low"
"2016-01-01",128,"Kingston",5,"Storage","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","98636.79","86513.84","12.2905","Not Low"
"2016-01-01",129,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","74233.99","61562.53","17.0696","Not Low"
"2016-01-01",131,"Samsung MZ-V6P512BW",5,"Storage","Series:960 PRO,Type:SSD,Capacity:512GB,Cache:512MB","31638.87","25310.87","20.0007","Not Low"
"2016-01-01",135,"Samsung MZ-V6E250",5,"Storage","Series:960 EVO,Type:SSD,Capacity:250GB,Cache:512MB","16880.16","12273.36","27.2912","Not Low"
"2016-01-01",136,"AMD Opteron 6378",1,"CPU","Speed:2.4GHz,Cores:16,TDP:115W","137280.34","108218.72","21.1695","Not Low"
"2016-01-01",141,"Supermicro X11SSL-CF",4,"Mother Board","CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB","46198.90","34959.10","24.3292","Not Low"
"2016-01-01",143,"Asus Z10PE-D16",4,"Mother Board","CPU:LGA2011-3 Narrow x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB","68508.30","49861.00","27.2190","Not Low"
"2016-01-01",144,"Intel DG43RK",4,"Mother Board","CPU:LGA775,Form Factor:Micro ATX,RAM Slots:4,Max RAM:8GB","56509.05","42839.55","24.1899","Not Low"
"2016-01-01",146,"EVGA Z270 Classified K",4,"Mother Board","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","16754.82","13821.34","17.5083","Not Low"
"2016-01-01",151,"Supermicro X10SAT-O",4,"Mother Board","CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB","10150.92","7454.88","26.5596","Not Low"
"2016-01-01",152,"Gigabyte X299 AORUS Gaming 3",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","14329.98","11601.48","19.0405","Not Low"
"2016-01-01",153,"Intel Xeon E5-2650 V2",1,"CPU","Speed:2.6GHz,Cores:8,TDP:95W","134892.00","103799.88","23.0496","Not Low"
"2016-01-01",157,"Asus MAXIMUS IX FORMULA",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","69240.22","60363.36","12.8204","Not Low"
"2016-01-01",163,"Intel Xeon E5-2683 V4",1,"CPU","Speed:2.1GHz,Cores:16,TDP:120W","58899.69","52915.45","10.1601","Low"
"2016-01-01",164,"Intel Xeon E5-2637 V2 (OEM/Tray)",1,"CPU","Speed:3.5GHz,Cores:4,TDP:130W","144300.00","103203.36","28.4800","Not Low"
"2016-01-01",167,"Intel Xeon E5-2650L V3 (OEM/Tray)",1,"CPU","Speed:1.8GHz,Cores:12,TDP:65W","89930.94","69346.13","22.8896","Not Low"
"2016-01-01",168,"Seagate ST31000340NS - FFP",5,"Storage","Series:Barracuda ES,Type:7200RPM,Capacity:1TB,Cache:32MB","3915.11","3061.60","21.8004","Not Low"
"2016-01-01",169,"Intel Xeon E5-2683 V4 (OEM/Tray)",1,"CPU","Speed:2.1GHz,Cores:16,TDP:120W","368978.00","273966.00","25.7500","Not Low"
"2016-01-01",172,"ASRock EP2C612 WS",4,"Mother Board","CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:","37282.96","32119.36","13.8498","Not Low"
"2016-01-01",174,"MSI GTX 1080 TI AERO 11G OC",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.51GHz","290566.64","260522.08","10.3400","Low"
"2016-01-01",177,"PNY VCQM5000-PB",2,"Video Card","Chipset:Quadro M5000,Memory:8GBCore Clock:861MHz","168959.04","121768.32","27.9303","Not Low"
"2016-01-01",179,"Asus SABERTOOTH X99",4,"Mother Board","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB","31892.34","25762.14","19.2215","Not Low"
"2016-01-01",180,"Supermicro MBD-X10DAL-I-O",4,"Mother Board","CPU:LGA2011-3 x 2,Form Factor:ATX,RAM Slots:8,Max RAM:512GB","15679.44","13399.68","14.5398","Not Low"
"2016-01-01",185,"MSI GTX 1080 TI LIGHTNING Z",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.61GHz","211503.16","166580.70","21.2396","Not Low"
"2016-01-01",186,"PNY VCQK5200-PB",2,"Video Card","Chipset:Quadro K5200,Memory:8GBCore Clock:667MHz","462543.62","360275.41","22.1100","Not Low"
"2016-01-01",187,"Asus MAXIMUS VIII EXTREME/ASSEMBLY",4,"Mother Board","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","38937.80","27875.10","28.4112","Not Low"
"2016-01-01",188,"Asus X99-E WS/USB 3.1",4,"Mother Board","CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB","64171.17","57042.37","11.1090","Low"
"2016-01-01",190,"Supermicro X10SDV-8C-TLN4F",4,"Mother Board","CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB","47449.50","33214.50","30.0003","Not Low"
"2016-01-01",191,"Asus ROG MAXIMUS IX EXTREME",4,"Mother Board","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","23533.59","19716.49","16.2198","Not Low"
