"product_id","product_name","description","revenue","cogs","profit_margin","low_margin_flag"
171,"ASRock Fatal1ty X299 Professional Gaming i9","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","34468.20","25875.00","24.9308","Not Low"
110,"ATI FirePro W9000","Chipset:FirePro W9000,Memory:6GBCore Clock:975MHz","654558.85","571037.75","12.7599","Low"
168,"Seagate ST31000340NS - FFP","Series:Barracuda ES,Type:7200RPM,Capacity:1TB,Cache:32MB","9897.75","7740.00","21.8004","Not Low"
240,"Intel Core i7-4960X Extreme Edition","Speed:3.6GHz,Cores:6,TDP:130W","144477.60","119714.40","17.1398","Not Low"
138,"G.Skill Ripjaws V Series","Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","26485.59","20462.69","22.7403","Not Low"
121,"G.Skill Ripjaws V Series","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB","194937.30","162869.40","16.4504","Not Low"
247,"Asus TUF X299 MARK 1","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","65958.06","46783.10","29.0714","Not Low"
172,"ASRock EP2C612 WS","CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:","50547.09","43546.44","13.8498","Low"
250,"Asus Z170-WS","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","73560.83","60629.80","17.5787","Not Low"
286,"Samsung MZ-V6E500","Series:960 EVO,Type:SSD,Capacity:500GB,Cache:512MB","8424.00","7546.32","10.4188","Low"
279,"G.Skill Ripjaws V Series","Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","93648.29","80930.77","13.5801","Low"
153,"Intel Xeon E5-2650 V2","Speed:2.6GHz,Cores:8,TDP:95W","176109.00","135516.51","23.0496","Not Low"
64,"Supermicro H8DG6-F","CPU:G34 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:512GB","53124.99","42080.64","20.7894","Not Low"
39,"ASRock EP2C602-4L/D16","CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB","50432.33","37653.49","25.3386","Not Low"
206,"PNY VCQM6000-24GB-PB","Chipset:Quadro M6000,Memory:24GBCore Clock:988MHz","550487.00","481345.62","12.5600","Low"
35,"Corsair Dominator Platinum","Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","368197.20","316870.40","13.9400","Low"
4,"AMD 100-505989","Chipset:FirePro W9100,Memory:32GBCore Clock:930MHz","888296.71","700332.43","21.1601","Not Low"
86,"MSI GTX 1080 TI SEA HAWK X","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","190780.26","163842.84","14.1196","Low"
211,"Intel Xeon E5-2650","Speed:2.0GHz,Cores:8,TDP:95W","223647.90","182496.30","18.4002","Not Low"
191,"Asus ROG MAXIMUS IX EXTREME","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","23533.59","19716.49","16.2198","Not Low"
95,"Western Digital WDS256G1X0C","Series:Black PCIe,Type:SSD,Capacity:256GB,Cache:N/A","44655.94","34863.22","21.9293","Not Low"
34,"Asus KGPE-D16","CPU:G34 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:256GB","82342.06","71061.84","13.6992","Low"
280,"Western Digital WDS500G1B0B","Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A","22631.88","16140.39","28.6829","Not Low"
239,"MSI GTX 1080 Ti DUKE 11G OC","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz","233096.85","174847.05","24.9895","Not Low"
255,"Seagate ST2000DX002","Series:FireCuda,Type:Hybrid,Capacity:2TB,Cache:64MB","16469.19","11670.88","29.1351","Not Low"
210,"Intel Core i9-7900X","Speed:3.3GHz,Cores:10,TDP:140W","120508.83","100130.94","16.9099","Not Low"
205,"G.Skill Trident X","Speed:DDR3-3100,Type:240-pin DIMM,CAS:12Module:2x4GBSize:8GB","69548.93","54283.24","21.9496","Not Low"
227,"Gigabyte GA-X99-UD5 WIFI","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB","41175.00","29407.05","28.5803","Not Low"
141,"Supermicro X11SSL-CF","CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB","205375.11","155409.09","24.3292","Not Low"
40,"MSI Z170A KRAIT GAMING 3X","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","23691.31","19386.60","18.1700","Not Low"
235,"Hitachi A7K1000-1000","Series:Ultrastar,Type:7200RPM,Capacity:1TB,Cache:32MB","13604.76","9700.56","28.6973","Not Low"
190,"Supermicro X10SDV-8C-TLN4F","CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB","234400.53","164079.63","30.0003","Not Low"
36,"Corsair Vengeance LPX","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","197598.48","138772.96","29.7702","Not Low"
157,"Asus MAXIMUS IX FORMULA","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","69240.22","60363.36","12.8204","Low"
44,"Seagate ST1000DM010","Series:BarraCuda,Type:7200RPM,Capacity:1TB,Cache:64MB","2715.35","2319.90","14.5635","Low"
155,"Intel Xeon E5-2630 V2","Speed:2.6GHz,Cores:6,TDP:80W","83630.90","70074.16","16.2102","Not Low"
160,"Intel Xeon E5-2690 V3","Speed:2.6GHz,Cores:12,TDP:135W","57261.90","46210.50","19.2997","Not Low"
136,"AMD Opteron 6378","Speed:2.4GHz,Cores:16,TDP:115W","137280.34","108218.72","21.1695","Not Low"
181,"ATI FirePro R5000","Chipset:FirePro R5000,Memory:2GBCore Clock:825MHz","142998.57","108764.37","23.9402","Not Low"
195,"G.Skill Ripjaws 4 Series","Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","120382.86","95307.42","20.8297","Not Low"
15,"G.Skill Trident Z","Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","23231.68","19249.92","17.1394","Not Low"
53,"Intel Core 2 Extreme QX6800","Speed:2.93GHz,Cores:4,TDP:100W","128509.44","100828.16","21.5403","Not Low"
126,"G.Skill Ripjaws V Series","Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x8GBSize:64GB","100635.43","80216.01","20.2905","Not Low"
131,"Samsung MZ-V6P512BW","Series:960 PRO,Type:SSD,Capacity:512GB,Cache:512MB","41158.53","32926.53","20.0007","Not Low"
14,"G.Skill Ripjaws V Series","Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","94468.66","84909.10","10.1193","Low"
103,"EVGA 11G-P4-6598-KR","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz","85048.95","69671.70","18.0805","Not Low"
149,"ASRock X299 Taichi","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","14431.98","10932.36","24.2491","Not Low"
262,"Corsair Dominator Platinum","Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB","285648.03","207238.09","27.4498","Not Low"
62,"Intel DP35DPM","CPU:LGA775,Form Factor:ATX,RAM Slots:4,Max RAM:8GB","296171.25","234832.50","20.7106","Not Low"
143,"Asus Z10PE-D16","CPU:LGA2011-3 Narrow x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB","68508.30","49861.00","27.2190","Not Low"
13,"G.Skill Ripjaws V Series","Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","150162.87","131768.19","12.2498","Low"
101,"Kingston HyperX Predator","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","267115.80","198147.60","25.8196","Not Low"
144,"Intel DG43RK","CPU:LGA775,Form Factor:Micro ATX,RAM Slots:4,Max RAM:8GB","56509.05","42839.55","24.1899","Not Low"
182,"PNY VCQK4200-PB","Chipset:Quadro K4200,Memory:4GBCore Clock:771MHz","90239.55","75909.75","15.8797","Not Low"
119,"Intel Xeon E5-2640 V3","Speed:2.6GHz,Cores:8,TDP:90W","126898.59","94221.84","25.7503","Not Low"
179,"Asus SABERTOOTH X99","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB","57843.95","46725.45","19.2215","Not Low"
29,"Corsair Vengeance LPX","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","41989.35","37160.50","11.5002","Low"
108,"MSI GAMING","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz","248197.08","219928.56","11.3895","Low"
128,"Kingston","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","98636.79","86513.84","12.2905","Low"
18,"Crucial","Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB","203745.00","154030.20","24.4005","Not Low"
226,"Asus PRIME X299-A","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","17661.45","15649.92","11.3894","Low"
259,"PNY SSD9SC240GMDA-RB","Series:XLR8,Type:SSD,Capacity:240GB,Cache:N/A","8556.32","6190.40","27.6511","Not Low"
56,"Western Digital WD2500AAJS","Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB","2378.60","2132.20","10.3590","Low"
258,"PNY SSD7CS1311-120-RB","Series:CS1311,Type:SSD,Capacity:120GB,Cache:N/A","29163.94","25446.77","12.7458","Low"
184,"AMD 100-506061","Chipset:Vega Frontier Edition,Memory:16GBCore Clock:1.44GHz","87999.12","62215.12","29.3003","Not Low"
225,"Gigabyte GA-Z270X-Gaming 9","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","69045.26","52066.85","24.5903","Not Low"
42,"MSI Z170A KRAIT GAMING","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","22491.75","19680.00","12.5013","Low"
116,"G.Skill Trident Z","Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","135418.15","104597.15","22.7599","Not Low"
170,"Asus X99-DELUXE II","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","11903.38","8969.23","24.6497","Not Low"
41,"MSI Z170 Krait Gaming","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","71973.60","55579.20","22.7784","Not Low"
20,"Corsair Dominator Platinum","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","162717.74","139335.78","14.3696","Low"
142,"AMD FirePro W9100","Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz","734728.05","608428.10","17.1900","Not Low"
218,"Intel Xeon E5-2660 V4","Speed:2.0GHz,Cores:14,TDP:105W","318055.81","273432.87","14.0299","Low"
120,"Intel Core 2 Extreme QX9775","Speed:3.2GHz,Cores:4,TDP:150W","28544.00","23605.76","17.3004","Not Low"
19,"Intel Core i7-6950X (OEM/Tray)","Speed:3.0GHz,Cores:10,TDP:140W","248838.02","216015.76","13.1902","Low"
17,"Corsair Vengeance LPX","Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","100657.44","85740.48","14.8195","Low"
180,"Supermicro MBD-X10DAL-I-O","CPU:LGA2011-3 x 2,Form Factor:ATX,RAM Slots:8,Max RAM:512GB","15679.44","13399.68","14.5398","Low"
127,"Corsair Dominator Platinum","Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","24479.66","18310.70","25.2004","Not Low"
276,"Corsair Vengeance LPX","Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","115235.01","85884.48","25.4702","Not Low"
66,"Gigabyte X299 AORUS Gaming 7","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","91997.70","65299.30","29.0207","Not Low"
238,"EVGA 06G-P4-4998-KR","Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.19GHz","137971.08","96911.58","29.7595","Not Low"
230,"ADATA ASU800SS-512GT-C","Series:Ultimate SU800,Type:SSD,Capacity:512GB,Cache:N/A","30208.49","25037.09","17.1190","Not Low"
122,"G.Skill Trident Z","Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","101218.60","74517.80","26.3793","Not Low"
278,"G.Skill Ripjaws V Series","Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB","171531.47","138150.65","19.4605","Not Low"
215,"PNY VCQP4000-PB","Chipset:Quadro P4000,Memory:8GBCore Clock:1.23GHz","29876.04","26064.00","12.7595","Low"
269,"Zotac ZT-P10810D-10P","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","111718.53","85274.70","23.6700","Not Low"
268,"Western Digital WD10EZEX","Series:Caviar Blue,Type:7200RPM,Capacity:1TB,Cache:64MB","16566.48","12397.18","25.1671","Not Low"
288,"Asus ROG STRIX X99 GAMING","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","19839.38","15863.32","20.0413","Not Low"
87,"PNY VCGGTX1080T11XGPB-OC","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz","238636.86","188688.88","20.9305","Not Low"
43,"Asus MAXIMUS IX CODE","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","119890.98","106726.15","10.9807","Low"
204,"G.Skill Ripjaws V Series","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","194418.17","154699.12","20.4297","Not Low"
256,"Western Digital WD5000AACS","Series:Caviar Green,Type:5400RPM,Capacity:500GB,Cache:16MB","2294.15","1711.90","25.3798","Not Low"
187,"Asus MAXIMUS VIII EXTREME/ASSEMBLY","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","113627.58","81344.61","28.4112","Not Low"
45,"Intel Xeon E5-2685 V3 (OEM/Tray)","Speed:2.6GHz,Cores:12,TDP:120W","255172.38","205235.22","19.5700","Not Low"
248,"Intel Xeon E5-2697 V3","Speed:2.6GHz,Cores:14,TDP:145W","116549.16","97703.34","16.1698","Not Low"
11,"PNY VCQP5000-PB","Chipset:Quadro P5000,Memory:16GBCore Clock:1.61GHz","362719.80","288397.80","20.4902","Not Low"
93,"Intel Xeon E5-2690 (OEM/Tray)","Speed:2.9GHz,Cores:8,TDP:135W","455094.80","405990.95","10.7898","Low"
74,"Intel Xeon E5-2680 V2","Speed:2.8GHz,Cores:10,TDP:115W","30183.85","24415.83","19.1096","Not Low"
12,"Gigabyte GV-N108TAORUSX W-11GD","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz","84972.94","61393.15","27.7498","Not Low"
147,"EVGA Classified","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB","28398.00","24062.00","15.2687","Not Low"
196,"Corsair Vengeance LPX","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","272797.52","203833.68","25.2802","Not Low"
151,"Supermicro X10SAT-O","CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB","45961.11","33754.04","26.5596","Not Low"
58,"Gigabyte GV-N108TAORUS X-11GD","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.61GHz","57303.54","50249.55","12.3099","Low"
79,"Corsair Dominator Platinum","Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","83818.73","68279.01","18.5397","Not Low"
25,"Samsung MZ-75E250B/AM","Series:850 EVO-Series,Type:SSD,Capacity:250GB,Cache:N/A","14788.08","12405.18","16.1137","Not Low"
174,"MSI GTX 1080 TI AERO 11G OC","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.51GHz","290566.64","260522.08","10.3400","Low"
80,"Intel Xeon E5-1650 V3","Speed:3.5GHz,Cores:6,TDP:140W","75130.37","53169.41","29.2305","Not Low"
129,"Corsair Vengeance LPX","Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","200652.27","166401.69","17.0696","Not Low"
261,"G.Skill TridentZ RGB","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB","159528.94","141007.56","11.6100","Low"
285,"Samsung MZ-75E1T0B/AM","Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A","49298.55","37733.35","23.4595","Not Low"
209,"Intel Core i7-990X Extreme Edition","Speed:3.47GHz,Cores:6,TDP:130W","95999.20","85823.20","10.6001","Low"
55,"Crucial CT525MX300SSD4","Series:MX300,Type:SSD,Capacity:525GB,Cache:N/A","59037.09","47670.72","19.2529","Not Low"
242,"Intel Xeon E5-1680 V3 (OEM/Tray)","Speed:3.2GHz,Cores:8,TDP:140W","106871.39","92710.85","13.2501","Low"
52,"Intel Xeon E5-2670 V3","Speed:2.3GHz,Cores:12,TDP:120W","306887.34","266071.02","13.3001","Low"
241,"Intel Xeon E5-2699 V4 (OEM/Tray)","Speed:2.2GHz,Cores:22,TDP:145W","658500.00","575857.50","12.5501","Low"
217,"ASRock C2750D4I","CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB","26932.66","22749.85","15.5306","Not Low"
219,"Intel Xeon E5-2660 V3","Speed:2.6GHz,Cores:10,TDP:105W","106577.86","85443.18","19.8303","Not Low"
65,"Corsair Dominator Platinum","Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","231598.07","193476.71","16.4601","Not Low"
272,"G.Skill Ripjaws 4 Series","Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","214798.00","166812.00","22.3401","Not Low"
67,"Kingston HyperX Beast","Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB","175199.15","143908.73","17.8599","Not Low"
236,"MSI GTX 980 Ti Gaming 6G","Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz","84966.48","61557.72","27.5506","Not Low"
253,"Samsung MZ-V6P1T0BW","Series:960 Pro,Type:SSD,Capacity:1TB,Cache:1GB","121217.91","97496.41","19.5693","Not Low"
73,"Intel Core i7-4770K","Speed:3.5GHz,Cores:4,TDP:84W","107066.00","95696.10","10.6195","Low"
146,"EVGA Z270 Classified K","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","16754.82","13821.34","17.5083","Not Low"
109,"G.Skill Trident Z","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","89248.75","73157.50","18.0297","Not Low"
24,"Seagate ST2000DM006","Series:Barracuda,Type:7200RPM,Capacity:2TB,Cache:64MB","21003.46","15050.02","28.3450","Not Low"
106,"Intel Xeon E5-2640 V2","Speed:2.0GHz,Cores:8,TDP:95W","178422.35","159740.67","10.4705","Low"
27,"Intel Core i7-3960X Extreme Edition","Speed:3.3GHz,Cores:6,TDP:130W","73668.08","52753.72","28.3900","Not Low"
33,"ADATA ASU800SS-128GT-C","Series:Ultimate SU800,Type:SSD,Capacity:128GB,Cache:N/A","7528.95","5402.54","28.2431","Not Low"
169,"Intel Xeon E5-2683 V4 (OEM/Tray)","Speed:2.1GHz,Cores:16,TDP:120W","503654.97","373963.59","25.7500","Not Low"
23,"Western Digital WDS250G1B0A","Series:Blue,Type:SSD,Capacity:250GB,Cache:N/A","12764.38","10300.68","19.3014","Not Low"
203,"Kingston","Speed:DDR3-1333,Type:240-pin DIMM,CAS:9Module:4x16GBSize:64GB","122191.16","101344.88","17.0604","Not Low"
105,"EVGA 12G-P4-3992-KR","Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz","240799.14","198924.02","17.3901","Not Low"
5,"PNY VCQK6000-PB","Chipset:Quadro K6000,Memory:12GBCore Clock:902MHz","249696.11","189693.79","24.0301","Not Low"
3,"Corsair CB-9060011-WW","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","80798.99","57924.51","28.3104","Not Low"
177,"PNY VCQM5000-PB","Chipset:Quadro M5000,Memory:8GBCore Clock:861MHz","535036.96","385599.68","27.9303","Not Low"
72,"Intel Xeon E5-2630 V3 (OEM/Tray)","Speed:2.4GHz,Cores:8,TDP:85W","50739.14","36283.40","28.4903","Not Low"
70,"Intel Xeon E5-2687W","Speed:3.1GHz,Cores:8,TDP:150W","168504.63","137734.92","18.2605","Not Low"
188,"Asus X99-E WS/USB 3.1","CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB","165011.58","146680.38","11.1090","Low"
102,"Intel Xeon E5-2687W V4","Speed:3.0GHz,Cores:12,TDP:160W","678173.08","572311.56","15.6098","Not Low"
28,"Supermicro X9SRH-7TF","CPU:LGA2011,Form Factor:ATX,RAM Slots:8,Max RAM:64GB","71038.52","60922.72","14.2399","Low"
38,"Corsair Vengeance LPX","Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","236398.03","200843.47","15.0401","Not Low"
6,"Zotac ZT-P10810A-10P","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz","108798.72","89900.80","17.3696","Not Low"
114,"Zotac ZT-70203-10P","Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz","124732.72","88223.84","29.2697","Not Low"
164,"Intel Xeon E5-2637 V2 (OEM/Tray)","Speed:3.5GHz,Cores:4,TDP:130W","604950.00","432660.24","28.4800","Not Low"
68,"Crucial","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","198422.49","152843.67","22.9706","Not Low"
69,"Intel Core i7-7820X","Speed:3.6GHz,Cores:8,TDP:140W","128962.50","97109.00","24.6998","Not Low"
31,"Supermicro MBD-X10DAX","CPU:LGA2011-3 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:","58571.04","50851.68","13.1795","Low"
96,"SanDisk SDSSDHII-480G-G25","Series:Ultra II,Type:SSD,Capacity:480GB,Cache:N/A","32983.48","23910.46","27.5078","Not Low"
115,"Corsair Vengeance LPX","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","36399.48","29417.96","19.1803","Not Low"
178,"HP C2J95AT","Chipset:Quadro K5000,Memory:4GBCore Clock:706MHz","491972.94","422113.86","14.1998","Low"
282,"Corsair Dominator Platinum","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","94183.83","81958.50","12.9803","Low"
254,"Samsung MZ-7KE256BW","Series:850 Pro Series,Type:SSD,Capacity:256GB,Cache:N/A","14518.79","11759.99","19.0016","Not Low"
82,"Intel Core i7-6950X","Speed:3.0GHz,Cores:10,TDP:140W","92993.18","65281.04","29.8002","Not Low"
10,"Crucial","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:2x16GBSize:32GB","124234.47","88790.49","28.5299","Not Low"
118,"Corsair Dominator Platinum","Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","99384.38","82141.32","17.3499","Not Low"
251,"MSI X299 GAMING PRO CARBON AC","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","38172.53","26984.40","29.3094","Not Low"
92,"Intel Xeon E5-2643 V2 (OEM/Tray)","Speed:3.5GHz,Cores:6,TDP:130W","275000.00","242522.50","11.8100","Low"
200,"Intel Core i7-4790K","Speed:4.0GHz,Cores:4,TDP:88W","296193.15","220335.84","25.6108","Not Low"
213,"Intel Xeon E5-2643 V3 (OEM/Tray)","Speed:3.4GHz,Cores:6,TDP:135W","442457.96","381177.37","13.8500","Low"
189,"Asus X99-E-10G WS","CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB","94754.00","84974.92","10.3205","Low"
99,"Seagate ST1000DX002","Series:FireCuda,Type:Hybrid,Capacity:1TB,Cache:64MB","8371.38","6815.43","18.5865","Not Low"
185,"MSI GTX 1080 TI LIGHTNING Z","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.61GHz","211503.16","166580.70","21.2396","Not Low"
1,"G.Skill Ripjaws V Series","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","206398.78","145015.92","29.7399","Not Low"
264,"Samsung MZ-75E120B/AM","Series:850 EVO-Series,Type:SSD,Capacity:120GB,Cache:N/A","3114.65","2604.35","16.3839","Not Low"
89,"PNY VCGGTX780T3XPB-OC","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz","212247.17","167569.96","21.0496","Not Low"
199,"Intel Xeon E5-2630 V4","Speed:2.2GHz,Cores:10,TDP:85W","171717.35","140171.75","18.3707","Not Low"
