"order_date_month","warehouse_name","country_name","revenue_country"
"2016-09-01","Beijing","China","2052682.28"
"2017-05-01","Seattle, Washington","United States of America","320239.95"
"2015-10-01","Toronto","Canada","744838.45"
"2017-09-01","Sydney","Australia","771911.24"
"2016-09-01","Toronto","Canada","1037715.28"
"2017-03-01","Southlake, Texas","United States of America","389855.70"
"2016-05-01","Bombay","India","613064.48"
"2013-06-01","Bombay","India","152518.24"
"2015-05-01","San Francisco","United States of America","608415.16"
"2016-05-01","Southlake, Texas","United States of America","85048.95"
"2017-09-01","Southlake, Texas","United States of America","32824.40"
"2017-08-01","Beijing","China","726563.51"
"2017-02-01","Southlake, Texas","United States of America","953558.32"
"2015-06-01","Sydney","Australia","579755.24"
"2017-04-01","Beijing","China","361509.98"
"2017-08-01","Mexico City","Mexico","309521.53"
"2017-01-01","San Francisco","United States of America","578803.26"
"2016-10-01","Bombay","India","363356.14"
"2017-02-01","New Jersey","United States of America","1381756.37"
"2016-05-01","Mexico City","Mexico","463071.80"
"2017-01-01","New Jersey","United States of America","459255.70"
"2016-06-01","Southlake, Texas","United States of America","328772.32"
"2015-06-01","San Francisco","United States of America","220037.78"
"2017-08-01","Seattle, Washington","United States of America","667735.71"
"2017-05-01","Toronto","Canada","485561.65"
"2016-02-01","Sydney","Australia","689643.70"
